SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Extraordinary Gains (Losses),Net Income,Net Income (Common)
45846,USD,2018,FY,2018-12-20,2020-12-18,321000000.0,325000000.0,4914000000.0,-2234000000.0,2680000000.0,-1776000000.0,-1389000000.0,-387000000.0,,904000000,42000000.0,-37000000.0,946000000,,946000000,-630000000.0,316000000,,316000000,316000000
45846,USD,2019,FY,2019-12-19,2021-12-17,314000000.0,318000000.0,5163000000.0,-2358000000.0,2805000000.0,-1864000000.0,-1460000000.0,-404000000.0,,941000000,-22000000.0,-38000000.0,919000000,,919000000,152000000.0,1071000000,,1071000000,1071000000
45846,USD,2020,FY,2020-12-18,2022-12-21,309000000.0,312000000.0,5339000000.0,-2502000000.0,2837000000.0,-1991000000.0,-1496000000.0,-495000000.0,,846000000,-4000000.0,-70000000.0,842000000,,842000000,-123000000.0,719000000,,719000000,719000000
45846,USD,2021,FY,2021-12-17,2023-12-20,305000000.0,307000000.0,6319000000.0,-2912000000.0,3407000000.0,-2060000000.0,-1619000000.0,-441000000.0,,1347000000,13000000.0,-79000000.0,1360000000,,1360000000,-150000000.0,1210000000,,1210000000,1210000000
45846,USD,2022,FY,2022-12-21,2023-12-20,304000000.0,307000000.0,6848000000.0,-3126000000.0,3722000000.0,-2104000000.0,-1637000000.0,-467000000.0,,1618000000,-114000000.0,-75000000.0,1504000000,,1504000000,-250000000.0,1254000000,,1254000000,1254000000
1253413,USD,2018,FY,2019-03-15,2021-03-15,68403426.0,70924623.0,30965000000.0,-6324000000.0,24641000000.0,-22036000000.0,-12416000000.0,-9620000000.0,,2605000000,-684000000.0,391000000.0,1921000000,,1921000000,-793000000.0,1096000000,,1112000000,1112000000
1253413,USD,2019,FY,2020-04-09,2022-04-27,70983996.0,80244014.0,35666000000.0,-7372000000.0,28294000000.0,-23254000000.0,-12584000000.0,-10670000000.0,,5040000000,4047000000.0,417000000.0,9087000000,,9087000000,-1742000000.0,6998000000,,7055000000,7011000000
1253413,USD,2020,FY,2021-03-15,2023-03-27,70983996.0,80244014.0,18327000000.0,-4042000000.0,14285000000.0,-15708000000.0,-8041000000.0,-7667000000.0,,-1423000000,198000000.0,471000000.0,-1225000000,,-1225000000,-355000000.0,-3269000000,,-3207000000,-3247000000
1253413,USD,2021,FY,2022-04-27,2023-03-27,70983996.0,80244014.0,20029000000.0,-4604000000.0,15425000000.0,-16836000000.0,-7844000000.0,-8992000000.0,,-1411000000,940000000.0,567000000.0,-471000000,,-471000000,-270000000.0,-645000000,,-550000000,-550000000
1253413,USD,2022,FY,2023-03-27,2023-03-27,70983996.0,80244014.0,20055000000.0,-4529000000.0,15526000000.0,-15438000000.0,-7097000000.0,-8341000000.0,,88000000,2547000000.0,532000000.0,2635000000,,2635000000,-682000000.0,1367000000,,1403000000,1403000000
